,mood,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo
0,happy,6D72WFltGvVYuHMzQocBEY,0.489,0.739,8,-5.049,1,0.0397,0.0573,9.76e-06,0.472,125.003
1,happy,2tYbp6gUNzQXYj8XhVAh9e,0.547,0.881,0,-3.152,0,0.0512,0.0159,0,0.215,99.979
2,happy,1BM4hysOf4PgjlZ9v7APdg,0.483,0.739,1,-4.526,0,0.0487,0.00496,0,0.0765,128.271
3,happy,1n0roMNZNxclnLraBmA7tl,0.718,0.879,9,-4.009,0,0.0691,0.0665,0.00104,0.651,123.017
4,happy,1gb1bIRb1iNuJRnZB2XxS5,0.49,0.88,9,-4.175,0,0.06,0.0135,0,0.533,128.022
5,happy,3Q5JEE4e6YIR9ZMbFxnwiP,0.747,0.946,4,-7.297,0,0.0967,0.00562,0.761,0.762,122.003
6,happy,0m3DyjpzLPa3LCurw5A9IR,0.748,0.846,1,-4.32,0,0.0911,0.208,0.00215,0.465,125.965
7,happy,3y0ObkgsRTFoOKx8OCF2An,0.645,0.89,0,-5.122,1,0.0288,0.0641,0.34,0.193,125.0
8,happy,2TcCnaekMPZ287vkd2f8Wi,0.619,0.893,3,-3.435,1,0.0814,0.104,0.00603,0.695,126.023
9,happy,14VpDEKSX01feZ0Tt9kc7w,0.73,0.833,9,-5.303,1,0.0587,0.261,0.000169,0.296,125.028
10,happy,6ivAF3eU90MFrhFi5EFkcQ,0.82,0.702,7,-6.06,0,0.0346,0.042,0.00991,0.548,113.958
11,happy,39x8osSFRUQarEgkYwyJsT,0.754,0.908,8,-3.346,1,0.0648,0.00338,0,0.695,124.999
12,happy,4DMoP99RLqEpkrscJGO0kL,0.535,0.844,2,-5.458,0,0.0396,0.119,0,0.266,126.046
13,happy,0yU8ftsMI0LDMtee8TDsDR,0.849,0.682,7,-6.241,1,0.123,0.0197,0.00143,0.928,121.997
14,happy,2F03ZFlcofMDhdpVrsOmhJ,0.657,0.905,7,-5.558,1,0.0579,0.00296,0.113,0.0554,126.059
15,happy,17qxUEzUX5N4N2WMfKVnD5,0.578,0.864,3,-3.942,1,0.0437,0.0304,0.000199,0.635,125.916
16,happy,0W1jh3ExLv0nMvvmNJOBxh,0.806,0.753,11,-6.247,0,0.0534,0.031,0.5,0.846,122.99
17,happy,0cltirHSUgOXfmRsTVHIs8,0.631,0.96,6,-2.662,0,0.0479,0.0011,0.0231,0.845,125.993
18,happy,5DF2KFDVeC7wF5CXipl9WN,0.711,0.876,5,-4.144,1,0.0551,0.145,0,0.706,122.969
19,happy,2pNtIGopqr4wFDhpc9uAMC,0.642,0.942,10,-5.463,1,0.0771,0.00395,0.878,0.182,124.004
20,happy,1BHyi5tS67s00jDSlGQXg4,0.7,0.914,8,-6.43,0,0.106,0.0109,0.00296,0.913,125.07
21,happy,2mlCdElMlDuDmR8KfEuqcx,0.667,0.818,7,-5.298,0,0.085,0.0156,0,0.186,125.886
22,happy,3008zmJyaNEFbGEYNTg4mk,0.307,0.961,10,-5.6,0,0.0588,0.0013,0.00474,0.463,122.263
23,happy,0Quhzm1B1Z9I5S9RP6BgLh,0.585,0.956,0,-3.577,1,0.0564,0.0285,0,0.593,120.004
24,happy,0Q8I9WVpuNEFPiF83ZpcvU,0.625,0.855,5,-3.184,0,0.0401,0.00324,0,0.303,120.004
25,happy,4WpLRgfjvPKvt1vt37z7Wk,0.569,0.611,9,-7.275,1,0.0909,0.0198,0,0.334,170.121
26,happy,6oxlS3jlN3aVslynpnCEe5,0.786,0.842,7,-7.316,1,0.0662,0.0992,0.0805,0.694,124.997
27,happy,3IzYy3AdSWMX4uojNyS596,0.607,0.941,6,-6.817,1,0.0769,0.00568,0,0.53,124.058
28,happy,3bvjsHQd792zIO4SKFxXKs,0.485,0.91,9,-2.096,1,0.0977,0.113,0,0.649,124.18
29,happy,17gnbzWdHVTpyZP6FUvo0E,0.759,0.89,1,-10.453,0,0.0465,0.00647,0.476,0.721,128.004
30,happy,0FJw1Pg9xXCxbcyQMI6GAe,0.585,0.82,10,-4.428,1,0.0774,0.11,0,0.396,169.895
31,happy,1bmvJkAA8Yz9bv6y3WOj3U,0.793,0.701,2,-4.764,1,0.0428,0.00544,0,0.62,123.964
32,happy,5NeFmsnXBy6xVbz8pesM5l,0.662,0.823,9,-4.7,1,0.0971,0.073,0,0.435,118.958
33,happy,5hct3OPZEhHKqvGyRqq2TA,0.796,0.769,1,-1.632,1,0.0356,0.000305,0.776,0.408,123.987
34,happy,1nyyEarKbjbGm3iJqvZknV,0.739,0.628,8,-4.137,1,0.0703,0.0245,0,0.634,120.944
35,happy,2jokLd93nobhAlHcWiGusC,0.795,0.877,7,-2.6,1,0.0796,0.0308,0.315,0.773,122.035
36,happy,5EOLXVT47Ardn1lRWndbF4,0.646,0.796,0,-6.88,1,0.0384,0.000816,0.000154,0.71,123.999
37,happy,1tQNwQeYxq5FsSm0FALERe,0.754,0.804,10,-5.896,0,0.0557,0.0166,7.42e-06,0.708,123.03
38,happy,1Rmxhk9QkgjJAPifwkA4uM,0.619,0.71,4,-3.058,1,0.0403,0.136,0,0.359,124.106
39,happy,61fU4EtbNDg650uAsscnVK,0.702,0.898,8,-5.449,1,0.0459,0.0293,2.82e-06,0.705,117.028
40,happy,4LGqyXwp86r2CuIOnVOMvj,0.708,0.872,0,-2.766,1,0.23,0.0186,0.000355,0.475,156.057
41,happy,7JN4rYLphO4zyPP04Ibftj,0.824,0.632,1,-8.974,1,0.221,0.0168,0.0101,0.531,126.023
42,happy,3w97LeJNh7BHYS4SOwEFe0,0.495,0.842,0,-7.857,0,0.0317,0.0107,0.00775,0.361,123.011
43,happy,7v5AEwuaQurzjaOwOzFVdo,0.785,0.758,5,-7.551,0,0.0531,0.127,0.0184,0.642,115.031
44,happy,4yABgjYvA9NoqZk3pqyfcC,0.684,0.884,2,-6.651,1,0.0619,0.0152,0.231,0.326,126.038
45,happy,2syb6g2gf1rj50CovNjtI6,0.737,0.805,5,-4.955,0,0.0505,0.0728,0.000198,0.482,124.015
46,happy,3VJAw1xGnrIfdCWIatUbwG,0.701,0.81,5,-7.999,1,0.0348,0.000209,0.0968,0.842,125.008
47,happy,2wJi6pYUZTG5QkwnCk0qXu,0.619,0.852,1,-7.096,1,0.0341,0.00681,0.021,0.209,121.985
48,happy,2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.468,124.076
49,happy,4Q6b6mAjV9cEECioJ9thlE,0.703,0.901,2,-2.303,1,0.0384,0.063,0,0.876,105.059
50,happy,7K4V4qFRcEdagT2QfN8Xnr,0.649,0.816,1,-3.811,1,0.0696,0.00305,4.78e-06,0.802,125.998
51,happy,1okhlrAG0YsKTx9PpPprXv,0.657,0.788,1,-7.209,1,0.0429,0.0205,0.161,0.455,125.997
